#cache,OPT,LRU,FIFO,RAND
0,0,0,0,0
5,8.12,0,0,0
10,18.27,0,0,0.46
15,28.42,0,0,3.65
20,38.57,0,0,10.57
25,48.72,0,0,19.71
30,58.87,0,0,31.58
35,69.02,0,0,45.95
40,79.17,0,0,62.31
45,89.32,0,0,80.26
50,99.5,99.5,99.5,99.5
55,99.5,99.5,99.5,99.5
60,99.5,99.5,99.5,99.5
65,99.5,99.5,99.5,99.5
70,99.5,99.5,99.5,99.5
75,99.5,99.5,99.5,99.5
80,99.5,99.5,99.5,99.5
85,99.5,99.5,99.5,99.5
90,99.5,99.5,99.5,99.5
95,99.5,99.5,99.5,99.5
100,99.5,99.5,99.5,99.5
